Model,Augmentation,Freeze,Optimizer,LR,Batch Size,Epochs,Accuracy,Precision,Recall,F1,Specificity,FPR,FNR,Error Rate,ROC-AUC
MobileNetV2,NoAug,Frozen,Adam,0.0001,24,10,0.7777777910232544,0.778747795414462,0.7777777777777778,0.7722613261828948,0.9722222222222222,0.027777777777777776,0.2222222222222222,0.04938271604938271,0.9739583333333334
MobileNetV2,NoAug,Frozen,RMSprop,0.0001,24,10,0.8611111044883728,0.8564814814814814,0.8611111111111112,0.8559212573918457,0.9826388888888888,0.017361111111111112,0.1388888888888889,0.0308641975308642,0.9828559027777778
MobileNetV2,NoAug,FineTune,Adam,0.0001,24,10,0.8333333134651184,0.8677890011223345,0.8333333333333334,0.8256220865095995,0.9791666666666666,0.020833333333333332,0.16666666666666666,0.037037037037037035,0.9891493055555556
MobileNetV2,NoAug,FineTune,RMSprop,0.0001,24,10,0.8888888955116272,0.9083333333333334,0.8888888888888888,0.8700617283950618,0.9861111111111112,0.013888888888888888,0.1111111111111111,0.024691358024691357,0.9943576388888888
MobileNetV2,Augmented,Frozen,Adam,0.0001,24,10,0.8333333134651184,0.8333774250440916,0.8333333333333334,0.8298189646228862,0.9791666666666666,0.020833333333333332,0.16666666666666666,0.037037037037037035,0.9837239583333334
MobileNetV2,Augmented,Frozen,RMSprop,0.0001,24,10,0.8611111044883728,0.8728715728715728,0.8611111111111112,0.8604102849716885,0.9826388888888888,0.017361111111111112,0.1388888888888889,0.0308641975308642,0.9815538194444444
MobileNetV2,Augmented,FineTune,Adam,0.0001,24,10,0.8055555820465088,0.8528878528878528,0.8055555555555556,0.786937933067964,0.9756944444444444,0.024305555555555556,0.19444444444444445,0.043209876543209874,0.994140625
MobileNetV2,Augmented,FineTune,RMSprop,0.0001,24,10,0.875,0.901571268237935,0.875,0.8735509798461294,0.984375,0.015625,0.125,0.027777777777777776,0.9937065972222222
